502,1,20,8.3,해골성
503,1,20,9,주석 달린 셜록 홈즈 5
504,1,30,9.7,야행성동물
505,1,20,6.9,애거서 크리스티 전집 68 (완전판)
506,1,40,8.9,문을 열면
507,1,40,10,노량진 학원 살인사건
508,1,20,7.7,백주의 악마
509,1,20,9.2,고양이의 제단
510,1,30,8.8,리버티 바
511,1,20,8.7,단 하나의 이름도 잊히지 않게
512,1,40,7.1,밀어줄까?
513,1,30,7.3,미녀
514,1,20,8.3,주석 달린 셜록 홈즈 6
515,1,40,8.4,지옥의 어릿광대
517,1,50,9.3,붉은 기억
519,1,30,8.1,고전 추리·범죄소설 100선
520,1,20,9,사소한 거짓말
521,1,20,9.1,루팡의 소식
522,1,30,7.6,서장 다나카 겐이치의 우울
523,1,30,8.3,물의 감옥
524,1,40,8.8,명탐정 냥록 냥즈
525,1,30,6.7,딜리버리
526,1,30,10,D자카 살인사건
527,1,20,8.7,"그리고, 유리코는 혼자가 되었다"
529,1,20,10,난쟁이
531,1,20,10,아르센 뤼팽의 수십억 달러 외
533,1,40,8.2,커피유령과 바리스타 탐정
534,1,20,10,적의 연작 살인사건
535,1,20,8,위풍당당 명탐정 외젠 발몽
536,1,20,8,마술사
537,1,20,7,황금가면
538,1,30,10,바스커빌 가의 사냥개
539,1,20,8,셜록 홈즈의 모험
540,1,40,10,거미남
541,1,40,10,셜록 홈즈의 귀환
542,1,30,8.5,영양만두를 먹는 가족
543,1,30,9,표정없는 남자
544,1,40,9.3,엽기의 말로
545,1,30,8,존 스미스 이야기
549,1,30,8.7,그리고 네가 없는 9월이 온다
550,1,40,9.7,그저 그것만으로 좋았습니다
551,1,20,7.2,돌이킬 수 없는 약속
552,1,30,7.6,다 빈치 코드 1
553,1,40,8.9,용의자 X의 헌신
554,1,50,8.9,인어가 잠든 집
555,1,40,8.9,악의
556,1,40,9.5,13.67
557,1,20,7.9,살인의 해석
558,1,40,8.3,천사와 악마 1
559,1,30,8.6,장미의 이름 - 하
560,1,40,8.8,백야행 1
561,1,30,8.4,벚꽃지는 계절에 그대를 그리워하네
562,1,20,8.4,[세트] 재수사 1~2 - 전2권
563,1,50,8.8,백야행 2
564,1,40,8.6,백야행 3
565,1,40,9,모방범 1
566,1,30,9.6,킹덤
567,1,40,8.3,로스트 심벌 1
568,1,20,8.4,로스트 심벌 2
569,1,40,8.8,곰탕 2
570,1,20,8.4,나를 찾아줘
571,1,30,7.8,그리고 아무도 없었다 (리커버 특별판. 페이퍼백)
572,1,30,9.2,허즈번드 시크릿
573,1,30,8.4,너무 친한 친구들
574,1,30,8.8,넬라의 비밀 약방
575,1,40,8,매스커레이드 호텔
576,1,30,8.7,공허한 십자가
577,1,40,8.2,동급생
578,1,20,8.1,옛날에 내가 죽은 집
579,1,20,7.8,위험한 비너스
580,1,40,8.6,오리진 1
581,1,50,8.6,오리엔트 특급 살인 (리커버 특별판. 페이퍼백)
582,1,40,9,"장미의 이름 (리커버 특별판, 양장)"
583,1,30,8.9,오리진 2
584,1,20,8.1,추리소설가의 살인사건
585,1,40,8.6,마니아를 위한 세계 미스터리 걸작선
586,1,20,8.8,이유
587,1,30,9,네 번의 노크
588,1,20,9.1,여자를 증오한 남자들 1
589,1,30,8.6,바람을 뿌리는 자
590,1,30,8.5,밀실살인게임
591,1,20,8.8,유성의 인연 1
592,1,40,8.4,붉은 손가락
593,1,30,8.3,몽환화
594,1,30,9.2,바람의 그림자 1
595,1,40,8,명탐정의 규칙
596,1,30,8.2,사랑받지 못한 여자
597,1,30,9.3,미스터 메르세데스
598,1,20,8.2,방과 후
599,1,40,8.4,매스커레이드 나이트
600,1,20,9.3,곰탕 1
601,1,40,9.7,거짓말이다
602,1,20,8.2,눈보라 체이스
